Specification,ErpId,TaxRateCd,StorageModeName,,Unit,Name,BasicUnitCd,,SupplierName,Id,SupplierCd,Cd,ConversionNumerator,ConversionDenominator,TargetUnit,BackgroundClassificationId,ShowUnitName,BackgroundClassificationName,TaxRateName,,BasicUnitName,,SupplierId,SalesUnitName,SalesUnitCd
 ,170089,SL07_SYS,干货,,个,2.0服务员刺绣腰包,6,,四川寒容达贸易有限公司,024994dc-075f-4904-be09-7ea1da6bad72,207,280400523,1,1,6,2804,个,易耗用品,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
 ,161875,SL02_SYS,干货,,个,候位小吃产品碟,6,,四川煮饭自然馋贸易有限公司,013f6a0a-8b16-4ee8-8f04-bfdeba1e2b75,208,280100776,1,1,6,2801,个,餐厨用具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
2.4m*60cm,149978,SL07_SYS,干货,,个,牌匾：总有一天你会来吃2.4m*60cm,6,,四川寒容达贸易有限公司,00e87c57-fd9b-487b-bed6-3ec1b5ebb990,207,260100523,1,1,6,2601,个,定制软装,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
13*15cm(4个*4盒/箱),115984,SL02_SYS,干货,,个,小郡肝串串盅(3.0),6,,四川煮饭自然馋贸易有限公司,028f37ef-f360-4b29-9342-72b082dbcc7f,208,280300186,1,1,6,2803,个,餐具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
35L/38*27*58cm,114910,SL07_SYS,干货,,个,弹盖垃圾桶35L(统采),6,,四川寒容达贸易有限公司,03a9b5b0-11c1-415c-b7b6-279a1870c8cd,207,280500013,1,1,6,2805,个,清洁工具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
150g*50袋/件,161334,SL07_SYS,干货,,24袋/件,孔师傅麻辣蒸肉米粉150g*50,4,,四川寒容达贸易有限公司,071c41d7-e8a4-4dd4-a2be-fbee45a02cd5,207,240600504,1,1,4,2406,件,干杂,3%增值税,,袋,,da1413ba-0221-4656-bfff-ec7dceaf47cd,24袋/件,24袋/件
475个/件,149918,SL02_SYS,干货,,个,深海双虾滑密胺生粉碟,6,,四川煮饭自然馋贸易有限公司,02383f90-859f-40a9-8690-942d0cfcf7e1,208,280300541,1,1,6,2803,个,餐具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
50个/件,161198,SL07_SYS,干货,,个,喷火枪,6,,四川寒容达贸易有限公司,02cca53a-419c-41cc-bb06-c5615a0cadb1,207,280100947,1,1,6,2801,个,餐厨用具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
1000双/箱,115998,SL02_SYS,干货,,1000双/箱,蜀大侠火锅散筷(全国版),12,,四川煮饭自然馋贸易有限公司,0250ee94-db2d-422c-8393-3cc10bb9eabb,208,280400153,1,1,12,2804,箱,易耗用品,13%增值税,,双,,5e30996b-ec2a-4410-a317-c64856a48b2e,1000双/箱,1000双/箱
3XL,150076,SL07_SYS,干货,,件,小龙坎迎宾服3XL,21,,四川寒容达贸易有限公司,02349d58-2b7c-49fc-bebc-8b4c6b27149c,207,280200476,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
37*26*55cm,115320,SL02_SYS,干货,,台,圣比克不锈钢蒸汽开水机5.25L,13,,四川君乐天达贸易有限公司,00f239a5-d124-4843-a1b6-622a477d0c9f,206,270100018,1,1,13,2701,台,厨房设备,13%增值税,,台,,2aa441fa-acb0-4636-9c7a-078884c96df3,台,13
36,115313,SL02_SYS,干货,,双,蜀大侠定制款休闲鞋(尺码36),12,,四川君乐天达贸易有限公司,02d35b4f-8c32-4224-a558-3712186c7ded,206,280800003,1,1,12,2808,双,IP定制,13%增值税,,双,,2aa441fa-acb0-4636-9c7a-078884c96df3,双,12
54个/件,149899,SL02_SYS,干货,,个,2.0灰底深圆内隔片（密胺）,6,,四川煮饭自然馋贸易有限公司,05396c52-d766-448c-9f4f-ba431688fa37,208,280300351,1,1,6,2803,个,餐具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
1.5L*8瓶/箱,115294,SL02_SYS,干货,,8瓶/箱,三元牛奶1.5L*8,11,,四川君乐天达贸易有限公司,07c73509-f94d-4a88-8d2d-967bb0e064aa,206,250300047,1,1,11,2503,箱,饮品原料,13%增值税,,瓶,,2aa441fa-acb0-4636-9c7a-078884c96df3,8瓶/箱,8瓶/箱
200g*40袋/箱,115791,SL63_SYS,冻货,,40袋/箱,火锅裙带菜200g*40(深圳),4,,四川煮饭自然馋贸易有限公司,0240cf24-19a1-4654-b57b-20d5cc92a613,208,200900017,1,1,4,2009,箱,素菜,9%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,40袋/箱,40袋/箱
AP-117 200g 纯木浆,114982,SL07_SYS,干货,,个,牛皮纸档案袋(统采),6,,四川寒容达贸易有限公司,034d8f6e-9aed-4661-b1b0-11497fd73a35,207,280600044,1,1,6,2806,个,办公用品,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
6kg/件,161296,SL07_SYS,干货,,6千克/件,豆皮6kg,23,,四川寒容达贸易有限公司,03653e2c-43bb-4e31-919d-441533242517,207,200900558,1,1,23,2009,件,素菜,3%增值税,,千克,,da1413ba-0221-4656-bfff-ec7dceaf47cd,6千克/件,6千克/件
 ,150007,SL07_SYS,干货,,条,概念店客用围裙,15,,四川寒容达贸易有限公司,027b58eb-2c73-46b4-ae4a-63e3c5574dac,207,280200340,1,1,15,2802,条,服装服饰,3%增值税,,条,,da1413ba-0221-4656-bfff-ec7dceaf47cd,条,15
1,115592,SL07_SYS,干货,,张,铁床(蜀大侠468店直通),18,,四川群蓉达贸易有限公司,01a236a8-67e7-42b7-8a7a-8465c7e0e6cd,201,290100014,1,1,18,2901,张,直通商品（专用）,3%增值税,,张,,d2092eb5-1736-4cd7-85b3-43a379b38ff1,张,18
